Noise_Level,OpenL3_Similarity,VGGish_Similarity,PESQ_Score,STOI_Score
0.001,0.9939977,0.9412643,3.186828851699829,0.9998588140590882
0.002,0.9921563,0.9086511,2.471309185028076,0.9994272128998566
0.005,0.9884067,0.8875287,1.5650815963745117,0.9967716000722714
0.01,0.9848242,0.885061,1.1994701623916626,0.9882256629466902
0.02,0.9782629,0.8641357,1.0658406019210815,0.9628694896675429
