Degradation_Type,PESQ,STOI
Noise (Low),2.4659,0.9995
Noise (High),1.1986,0.9882
Noise (Extreme),1.0658,0.9632
Bitrate (Low),3.6559,0.9952
Bitrate (High),2.7384,0.9047
Bitrate (Extreme),2.0863,0.8405
Compression (Low),4.0705,1.0000
Compression (High),2.5166,0.9992
Compression (Extreme),1.0400,0.8613
